QUERYID,CASE_NUM,CASE_YEAR,REGN_CNTY_CDE,COMP_MUNI,MUNITYPE,REF_MRKR,ATINTERSECTION_IND,COMPX,COMPY,ACC_DATE,ACCD_TME,DMV_ACCD_CLSF,NUM_OF_INJURIES,NUM_OF_FATALITIES,NUM_OF_VEH,ACCD_TYP,COLLISION_TYP,TRAF_CNTL,LIGHT_COND,WEATHER,ROAD_SURF_COND
6836 ,34070520,2011 ,MONROE,Chili,,252 43011032,N,279559 ,4774582 , 10/25/2011,3:40 PM,PROPERTY DAMAGE AND INJURY,2 ,0 ,4 ,COLLISION WITH MOTOR VEHICLE,OTHER,TRAFFIC SIGNAL,DAYLIGHT,CLOUDY,DRY
6836 ,34070527,2011 ,MONROE,Ogden,, 36 43031137,Y,267877 ,4783132 , 10/28/2011,4:18 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLLISION WITH TREE,OTHER,STOP SIGN,DAYLIGHT,CLEAR,DRY
6836 ,34070529,2011 ,MONROE,Ogden,, 36 43031153,N,268066 ,4785668 , 10/28/2011,6:13 PM,INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DUSK,CLEAR,DRY
6836 ,34070545,2011 ,MONROE,Brighton,,590I43011013,N,289720 ,4776076 , 10/26/2011,4:35 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DUSK,RAIN,WET
6836 ,34070549,2011 ,MONROE,Webster,,,N,306145 ,4790128 , 10/25/2011,12:26 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLL. W/LIGHT SUPPORT/UTILITY POLE,OTHER,NONE,DARK-ROAD UNLIGHTED,CLEAR,DRY
6836 ,34070582,2011 ,MONROE,Perinton,, 31 43033066,N,298294 ,4772418 , 10/26/2011,6:37 PM,INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,OVERTAKING,NONE,DARK-ROAD LIGHTED,RAIN,WET
6836 ,34070583,2011 ,MONROE,Henrietta,,,N,286354 ,4773575 , 10/26/2011,10:19 PM,INJURY,1 ,0 ,1 ,COLL. W/LIGHT SUPPORT/UTILITY POLE,OTHER,NONE,DARK-ROAD LIGHTED,RAIN,WET
6836 ,34070596,2011 ,MONROE,Parma,,104 43031026,N,272386 ,4788846 , 10/22/2011,7:08 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,NONE,DARK-ROAD UNLIGHTED,CLOUDY,DRY
6836 ,34070598,2011 ,MONROE,Gates,,390I43037013,N,282409 ,4780550 , 10/26/2011,5:09 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DAYLIGHT,RAIN,WET
6836 ,34070603,2011 ,MONROE,Brighton,,390I43031130,N,288343 ,4775919 , 10/26/2011,3:30 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH GUIDE RAIL,OTHER,NONE,DAYLIGHT,RAIN,WET
6836 ,34070605,2011 ,MONROE,Pittsford,,252 43011118,N,293134 ,4773638 , 10/29/2011,4:00 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLLISION WITH OTHER,OTHER,NONE,DARK-ROAD UNLIGHTED,CLEAR,DRY
6836 ,34070607,2011 ,MONROE,Perinton,, 31 43033062,N,297670 ,4772565 , 10/27/2011,8:42 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,TRAFFIC SIGNAL,DARK-ROAD LIGHTED,CLOUDY,DRY
6836 ,34070610,2011 ,MONROE,Pittsford,, 31F43011011,N,296666 ,4775835 , 10/24/2011,4:16 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,STOP SIGN,DAYLIGHT,CLOUDY,WET
6836 ,34070611,2011 ,MONROE,Henrietta,,252 43011097,N,289805 ,4773717 , 10/26/2011,1:14 PM,INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,TRAFFIC SIGNAL,DAYLIGHT,RAIN,WET
6836 ,34070614,2011 ,MONROE,Irondequoit,,,Y,290626 ,4786147 , 10/28/2011,3:43 PM,INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,TRAFFIC SIGNAL,DAYLIGHT,CLEAR,DRY
6836 ,34070617,2011 ,MONROE,Gates,,490I43021179,N,281962 ,4781664 , 10/26/2011,6:54 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DARK-ROAD LIGHTED,RAIN,WET
6836 ,34070625,2011 ,MONROE,Parma,,,N,275159 ,4796666 , 10/25/2011,4:03 PM,PROPERTY DAMAGE AND INJURY,2 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,NONE,DAYLIGHT,CLOUDY,DRY
6836 ,34070626,2011 ,MONROE,Irondequoit,,,N,291852 ,4786582 , 10/22/2011,12:04 PM,PROPERTY DAMAGE AND INJURY,2 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,RIGHT ANGLE,NONE,DAYLIGHT,CLOUDY,DRY
6836 ,34070637,2011 ,MONROE,Brighton,,,Y,287205 ,4775280 , 10/28/2011,9:24 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,OVERTURNED,OTHER,NONE,DAYLIGHT,CLEAR,SNOW/ICE
